,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,population,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops,osm_cinemas,average changes,area average changes
0,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldBreslauerStraße_15.csv,6796.9,2355.3,1861.6,0,Kinowelt Alfeld_AlfeldBreslauerStraße_18.csv,6796.9,2355.3,1861.6,2,no routes possible to this cinema,,,,,562.9,2687.6,Alfeld (Leine),POINT (9.797634397476363 51.96419932071918),3092.0501240760045,3244.068562132125,,,0.4772864926852131,0.4772864926852131,,,,foot,2687.6,car,2580.0,62.04151892774647,foot,2687.6,car,2580.0,62.04151892774647,foot,2687.6,car,,,,,933,mid,2,1,18723,256.9,18.8,2264,65,1,,0.26229508196721313
1,Kinowelt Alfeld,Kinowelt Alfeld_GodenauKolonie_15.csv,3109.2,140.7,448.5,1,Kinowelt Alfeld_GodenauKolonie_18.csv,6400.2,2081.9,178.3,1,no routes possible to this cinema,,,,,558.2,4345.8,Alfeld (Leine),POINT (9.772352122800779 52.025336963728314),5602.472644782313,5488.688740966634,,,1.765305783148924,0.8575808163755249,,,,transit,3109.2,car,2520.0,18.95021227325357,foot,4345.8,car,4140.0,35.31452142120559,foot,4345.8,car,,,,,3,mid,2,1,18723,256.9,18.8,2264,65,1,,0.26229508196721313
2,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldAndenSteinköpfen_15.csv,3551.3,874.4,576.9,0,Kinowelt Alfeld_AlfeldAndenSteinköpfen_18.csv,4367.4,1249.1,898.3,0,no routes possible to this cinema,,,,,487.5,2034.6,Alfeld (Leine),POINT (9.806258499603212 51.96874259679973),2340.013077533068,2497.675758843271,,,0.7033130850233072,0.5718907722771606,,,,foot,2034.6,car,2100.0,40.86672486131839,foot,2034.6,car,2220.0,49.16884187388377,foot,2034.6,car,,,,,896,mid,2,1,18723,256.9,18.8,2264,65,1,,0.26229508196721313
3,Kinowelt Alfeld,"Kinowelt Alfeld_Alfeld(Leine),Dr.-Jansen-Str._15.csv",805.1,566.8,178.3,0,"Kinowelt Alfeld_Alfeld(Leine),Dr.-Jansen-Str._18.csv",805.1,566.8,178.3,0,"Kinowelt Alfeld_Alfeld(Leine),Dr.-Jansen-Str._21.csv",805.1,566.8,178.3,0.0,664.6,1032.3,Alfeld (Leine),POINT (9.833298832298972 51.99520149047929),1139.9179612090393,985.9273107787008,,2415.3,1.2246022988184089,1.2246022988184089,1.2246022988184089,1.2246022988184089,1750.7000000000005,transit,805.1,car,60.000000000000114,92.54750962613338,transit,805.1,car,60.000000000000114,92.54750962613338,transit,805.1,car,60.000000000000114,92.54750962613338,180.00000000000034,277.6425288784001,480,mid,2,1,18723,256.9,18.8,2264,65,1,0.0,0.26229508196721313
4,Kinowelt Alfeld,Kinowelt Alfeld_Langenholzen_15.csv,1017.8,250.4,407.4,0,Kinowelt Alfeld_Langenholzen_18.csv,1017.8,250.4,407.4,0,Kinowelt Alfeld_Langenholzen_21.csv,2848.2,2489.9,178.3,0.0,491.7,2683.0,Alfeld (Leine),POINT (9.868164772422205 51.97304781120711),3359.213844178816,3417.102382041476,,4883.799999999999,3.357341699785298,3.357341699785298,1.1997410231168726,2.6381414742291565,4392.099999999999,transit,1017.8,car,360.0,64.62959324032227,transit,1017.8,car,360.0,64.62959324032227,foot,2683.0,car,179.99999999999957,93.68021908573836,899.9999999999995,222.9394055663829,13,mid,2,1,18723,256.9,18.8,2264,65,1,0.0,0.26229508196721313
5,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldBergstraße_15.csv,1059.1,291.7,407.4,0,Kinowelt Alfeld_AlfeldBergstraße_18.csv,1059.1,291.7,407.4,0,Kinowelt Alfeld_AlfeldBergstraße_21.csv,2475.2,2116.9,178.3,0.0,427.5,2173.9,Alfeld (Leine),POINT (9.859834378242951 51.975756409407204),2712.693213778062,2770.6864958133656,,4593.4,2.616076381657413,2.616076381657413,1.1193788363822583,2.117177199899028,4165.9,transit,1059.1,car,360.0,66.00887546029648,transit,1059.1,car,360.0,66.00887546029648,foot,2173.9,car,179.99999999999957,92.72786037491922,899.9999999999995,224.74561129551216,550,mid,2,1,18723,256.9,18.8,2264,65,1,0.0,0.26229508196721313
6,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldNeuerFriedhofH.S._15.csv,579.2,340.9,178.3,0,Kinowelt Alfeld_AlfeldNeuerFriedhofH.S._18.csv,579.2,340.9,178.3,0,Kinowelt Alfeld_AlfeldNeuerFriedhofH.S._21.csv,693.9,395.6,178.3,0.0,200.9,437.2,Alfeld (Leine),POINT (9.8225852147337 51.992337167398965),656.3600190985525,497.5577649914287,,1852.3,0.85904310254045,0.85904310254045,0.7170453451382458,0.8117105167397153,1651.4,foot,437.2,car,60.0,89.64088397790054,foot,437.2,car,60.0,89.64088397790054,foot,437.2,car,119.99999999999989,82.70644185041073,239.9999999999999,261.9882098062118,1179,mid,2,1,18723,256.9,18.8,2264,65,1,0.0,0.26229508196721313
7,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldAmHeitkamp_15.csv,853.3,615.0,178.3,0,Kinowelt Alfeld_AlfeldAmHeitkamp_18.csv,853.3,615.0,178.3,0,Kinowelt Alfeld_AlfeldAmHeitkamp_21.csv,853.3,615.0,178.3,0.0,389.7,1091.2,Alfeld (Leine),POINT (9.84214884551809 51.987908335771635),1227.4084768309378,1193.7168135223014,,2559.9,1.398941537000236,1.398941537000236,1.398941537000236,1.398941537000236,2170.2,transit,853.3,car,60.0,92.9684753310676,transit,853.3,car,60.0,92.9684753310676,transit,853.3,car,60.0,92.9684753310676,180.0,278.9054259932028,480,mid,2,1,18723,256.9,18.8,2264,65,1,0.0,0.26229508196721313
8,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldBreslauerStraße_15.csv,6388.9,1947.3,1861.6,0,Kinowelt Alfeld_AlfeldBreslauerStraße_18.csv,6388.9,1947.3,1861.6,2,no routes possible to this cinema,,,,,552.0,2169.2,Alfeld (Leine),POINT (9.80356794780091 51.96940890818943),2383.835289666168,2535.592309768111,,,0.3968746278339168,0.3968746278339168,,,,foot,2169.2,car,2580.0,59.617461534849504,foot,2169.2,car,2580.0,59.617461534849504,foot,2169.2,car,,,,,896,mid,2,1,18723,256.9,18.8,2264,65,1,,0.26229508196721313
9,Kinowelt Alfeld,Kinowelt Alfeld_DelligsenKindergarten_15.csv,6757.9,2316.3,1861.6,0,Kinowelt Alfeld_DelligsenKindergarten_18.csv,6757.9,2316.3,1861.6,2,no routes possible to this cinema,,,,,571.3,2578.0,Alfeld (Leine),POINT (9.799278579769586 51.96474534984012),2976.541955276484,3129.9971144082742,,,0.4631612060563598,0.4631612060563598,,,,foot,2578.0,car,2580.0,61.82245963982894,foot,2578.0,car,2580.0,61.82245963982894,foot,2578.0,car,,,,,933,mid,2,1,18723,256.9,18.8,2264,65,1,,0.26229508196721313
