,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,population,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops,osm_cinemas,average changes,area average changes
0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,159.3,1082.4,Seefeld,POINT (11.19463715 48.036521150000006),685015.9778903382,949.2214729445408,,,,,,,,foot,1082.4,car,,,foot,1082.4,car,,,foot,1082.4,car,,,,,931,base,1,1,7694,220.77,12.83,1562.0,24.0,1,,
1,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,141.6,1325.1,Seefeld,POINT (11.19008685 48.0398516),684595.2971455914,1449.5075513500058,,,,,,,,foot,1325.1,car,,,foot,1325.1,car,,,foot,1325.1,car,,,,,931,base,1,1,7694,220.77,12.83,1562.0,24.0,1,,
2,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,141.9,1061.6,Seefeld,POINT (11.216723572277145 48.03722871353938),685209.0417718362,1169.7887938537324,,,,,,,,foot,1061.6,car,,,foot,1061.6,car,,,foot,1061.6,car,,,,,49,base,1,1,7694,220.77,12.83,1562.0,24.0,1,,
3,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,251.0,2167.3,Seefeld,POINT (11.17650905 48.0416296),684235.8685735546,2385.527660296372,,,,,,,,foot,2167.3,car,,,foot,2167.3,car,,,foot,2167.3,car,,,,,668,base,1,1,7694,220.77,12.83,1562.0,24.0,1,,
4,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,271.6,3497.6,Seefeld,POINT (11.249743476447941 48.02731914697246),686706.1003365585,3419.406112349221,,,,,,,,foot,3497.6,car,,,foot,3497.6,car,,,foot,3497.6,car,,,,,299,base,1,1,7694,220.77,12.83,1562.0,24.0,1,,
5,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,119.5,1093.2,Seefeld,POINT (11.217883933119174 48.036822350917895),685267.9140954126,1214.834611086383,,,,,,,,foot,1093.2,car,,,foot,1093.2,car,,,foot,1093.2,car,,,,,49,base,1,1,7694,220.77,12.83,1562.0,24.0,1,,
6,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,253.9,1380.3,Seefeld,POINT (11.218278306726347 48.04040247724383),684880.2218127274,1490.0359512924265,,,,,,,,foot,1380.3,car,,,foot,1380.3,car,,,foot,1380.3,car,,,,,49,base,1,1,7694,220.77,12.83,1562.0,24.0,1,,
7,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,155.4,1291.4,Seefeld,POINT (11.219941 48.03661325),685316.239148809,1334.9931052839554,,,,,,,,foot,1291.4,car,,,foot,1291.4,car,,,foot,1291.4,car,,,,,49,base,1,1,7694,220.77,12.83,1562.0,24.0,1,,
8,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,276.4,1619.6,Seefeld,POINT (11.200536311176547 48.04468523317918),684192.5094900379,1558.0562668260643,,,,,,,,foot,1619.6,car,,,foot,1619.6,car,,,foot,1619.6,car,,,,,22,base,1,1,7694,220.77,12.83,1562.0,24.0,1,,
9,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,262.2,1727.2,Seefeld,POINT (11.185931312124824 48.0342227816611),685162.370356177,1412.1448606587237,,,,,,,,foot,1727.2,car,,,foot,1727.2,car,,,foot,1727.2,car,,,,,668,base,1,1,7694,220.77,12.83,1562.0,24.0,1,,
